Denumirea străzii;Numerele caselor;Codul  poştal
Maria Lătăreţu;toate;MD-2008
Barbu Lăutaru;toate;MD-2008
Mihail Lermontov;toate;MD-2070
Str-la Mihail Lermontov;toate;MD-2070
Petru Leşcenco;toate;MD-2045
Str-la Petru Leşcenco;toate;MD-2045
Leuşeni;toate;MD-2002
Liliacului;toate;MD-2059
Dinu Lipatti;toate;MD-2002
Str-la Dinu Lipatti;toate;MD-2002
Lipcani;toate;MD-2051
Str-la Lipcani;toate;MD-2051
Lisabona;toate;MD-2064
Livădarilor;1-185;MD-2028
Livădarilor;187 sf.;MD-2019
Ioan Livescu;toate;MD-2064
Mihail Lomonosov;1-47, 2-26;MD-2009
Mihail Lomonosov;49,51, 38-42;MD-2028
Mihail Lomonosov;4/9, 49/1-49/18, 51/1-65/3;MD-2025
Emil Loteanu;toate;MD-2045
Serghei Lunchevici;toate;MD-2051
Ştefan Luchian;toate;MD-2008
Lunca Bîcului;29,33/1,33/2,33/3;MD-2023
Luncii;toate;MD-2024
Andrei Lupan;toate;MD-2059
Voluntar Filip Lupaşcu;toate;MD-2049
Luceafărul;toate;MD-2011
Str-la Luceafărul; 3-13;MD-2011
Vasile Lupu;toate;MD-2008
Lvov;toate;MD-2060
Str-la Lvov 1;toate;MD-2060
str-la Lvov  2;toate;MD-2060
Str-la Lvov 3;toate;MD-2060
Str-la Lvov 4;toate;MD-2060
Str-la Lvov 6;toate;MD-2060
Măcieşilor;toate;MD-2028
Macilor;toate;MD-2024
Gheorghe Madan;1-43, 2-12;MD-2059
Gheorghe Madan;14-52, 47-87;MD-2020
Vladimir Maiacovski;toate;MD-2023
Petru Maior;toate;MD-2005
Titu Maiorescu;toate;MD-2001
Teodor Malai;toate;MD-2070
Gheorghe Malarciuc;toate;MD-2009
Maramureş;toate;MD-2043
Alexandru Marinescu;1-19,  2-36;MD-2051
8 Martie;toate;MD-2059
27 Martie 1918;toate;MD-2069
Alexei Mateevici; 13-15, 32-36, 36a;MD-2012
Alexei Mateevici;21-sf, 38-sf;MD-2009
Alexei Mateevici;5-11, 2-30;MD-2001
Matei Milo;toate;MD-2043
Mazililor;toate;MD-2038
Măceşilor;toate;MD-2028
Măgurele;toate;MD-2070
Mălăieşti;toate;MD-2023
Mălina Mare;28-46, 39-49;MD-2038
Mălina Mică;toate;MD-2025
Str-la Mălina Mică;toate;MD-2025
Todeus Malinovschi;toate;MD-2019
Mărăşeşti;toate;MD-2028
Mărţişor;toate;MD-2028
Măzărachi;toate;MD-2005
Melestiu;14/3,14/4,16,18,20,20/2,22a,24;MD-2001
Melestiu;2-12, 11-15;MD-2038
Memoriei;toate;MD-2049
Memoriei;toate;MD-2049
Gheorghe Meniuc;toate;MD-2009
Mereni;toate;MD-2023
Str-la Mereni;toate;MD-2023
Mereşeni;toate;MD-2001
Mesager;toate;MD-2069
Meşterul Manole;1-sf, 6/2;MD-2023
Meşterul Manole;4-sf, (cu ex. 6/2);MD-2044
Veronica Micle;toate;MD-2012
Milano;toate;MD-2069
Mileşti;1-31, 2-54;MD-2001
Minsk;1-43, 2-22;MD-2002
Minsk;45-sf., 24-sf.;MD-2015
Mioriţa;1-11, 2-20, 30;MD-2028
Mioriţa; 60-216,;MD-2019
Mircea cel Bătrîn;1-15, 2-22;MD-2044
Mircea cel Bătrîn;17-sf, 22/5, 24-sf.;MD-2075
Mirceşti;toate;MD-2049
Mitropolit  Gavriil Bănulescu Bodoni;11-53, 4-24;MD-2012
Mitropolit Gavriil Bănulescu Bodoni;1-9, 2;MD-2009
MitropolitGavriil  Bănulescu Bodoni;26-sf.,  57-sf.;MD-2005
Mitropolit Dosoftei;79-85, 100-114;MD-2012
Mitropolit Dosoftei;87-sf..,118-sf.;MD-2004
Mitropolit Gurie Grosu;1-15, 2-12;MD-2028
Mitropolit Gurie Grosu;14-sf.,17-sf.;MD-2021
Mitropolit Petru Movilă;toate;MD-2004
Mitropolit Varlaam;39-63, 24-56;MD-2001
Mitropolit Varlaam;65-sf, 74-sf;MD-2012
Moara Roşie;toate;MD-2005
Moldoviţa;19-21;MD-2020
Moldoviţa;2-28, 23-45;MD-2059
Moldoviţa(Străşeni);Asociaţii;MD-2075
Moldoviţa, str-la;toate;MD-2001
Molocanilor;toate;MD-2019
Str-la Molocanilor, 1;toate;MD-2019
Montană;toate;MD-2059
Nicolae Moroşanu;toate;MD-2009
Dumitru Moruzi;toate;MD-2019
bd.Moscova;18-sf;MD-2045
bd. Moscova;1-sf, 2-16;MD-2068
Movila lui Burcel;toate;MD-2005
Movileni;toate;MD-2023
Str-la Movileni;toate;MD-2023
Munceşti;807;Sîngera
Munceşti;15-29, 46-62;MD-2001
Munceşti;293-803, 600-814 cu ex. 780 a;MD-2029
Munceşti;31-273 , 66-426,;MD-2002
Munceşti;780 a;MD-2026
Str-la Munceşti;toate;MD-2002
Simeon Murafa;toate;MD-2002
Murelor;toate;MD-2051
Andrei Mureşanu;toate;MD-2032
Gavriil Musicescu;toate;MD-2064
Musatinilor;toate;MD-2071
Navigatorilor;2-sf, 17-sf;MD-2026
Vasile Nauc (Codru);toate;MD-2019
Ştefan Neaga;1-51, 2-46/1;MD-2008
Ştefan Neaga;53-sf, 48-sf;MD-2064
Str-la Ştefan Neaga;toate;MD-2064
Ion Neculce;1-5;MD-2069
Ion Neculce;7-63, 10-sf;MD-2064
Negreşteni;toate;MD-2023
Alexandru Negru -Vodă;toate;MD-2072
Constantin Negruzzi;toate;MD-2001
Str-la Constantin Negruzzi;toate;MD-2001
Negureni;toate;MD-2001
Ion Nistor;toate;MD-2009
Florica Niţă;toate;MD-2024
Sergiu Niţă;toate;MD-2024
Nucarilor;toate;MD-2009
Str-la Nucarilor;toate;MD-2009
Nuferilor;toate;MD-2072
Odesa;23-67, 40-62;MD-2038
Odesa;1-23, 2-38;MD-2001
Odesa;toate;MD-2038
Oituz;toate;MD-2038
Oneşti;toate;MD-2009
Operaţiunea Iaşi-Chişinău;toate;MD-2045
Orhideelor;toate;MD-2070
Petre Osmătescu;toate;MD-2072
Otopeni;2-sf;MD-2026
Otovasca;toate;MD-2023
Olimpică;toate;MD-2019
Str-la Olimpică, 1;toate;MD-2019
Str-la Olimpică, 2;toate;MD-2019
Str-la Olimpică, 3;toate;MD-2019
Padurilor;toate;MD-2028
Pajurii;toate;MD-2024
Tudor Pamfile;toate;MD-2049
Pandurilor;1-45, 2-56;MD-2002
Pandurilor;51-sf., 62-sfr.;MD-2015
Anton Pann;toate;MD-2005
Parcului;toate;MD-2009
Str-la Parcului;toate;MD-2009
Parcului(Viilor);99, 101;MD-2028
Paris;toate;MD-2051
Paşcani;toate;MD-2023
Angela Păduraru;toate;MD-2071
Str-la Angela Păduraru;toate;MD-2071
Pădurii;8, 1-25,  2-36;MD-2002
Pădurii; 8a,;MD-2032
Str-la Pădurii;toate;MD-2002
Păşunilor;toate;MD-2029
Ioan Pelivan;1-15;MD-2064
Ioan Pelivan;2-sf, 17-sf;MD-2051
Perilor;toate;MD-2051
Pescăruşilor;toate;MD-2059
Petrăriei;19/1, 19/3, 19/5;MD-2069
Petricani;toate;MD-2059
Str-la Petricani 1;toate;MD-2059
Str-la Petricani 2;toate;MD-2059
Petrodava;toate;MD-2023
Piaţa  Victor Belikov;toate;MD-2026
Piaţa  Dimitrie Cantemir;toate;MD-2069
Piaţa Iulius Cezar;toate;MD-2001
Piaţa Gării;toate;MD-2001
Piaţa Pantelimon Halippa;toate;MD-2009
Piaţa Marea Adunare Naţională;toate;MD-2033
Piaţa Unirii Principatelor;toate;MD-2064
Piaţa Veche;toate;MD-2005
Pietrarilor; 2 (org.), 2a (org.),5(u/m);MD-2028
Pietrarilor;1-41 (cu ex.5 u/m), 2-60;MD-2021
Pietrăriei;toate;MD-2024
Str-la Pietrăriei 1;toate;MD-2024
Str-la Pietrăriei 2;toate;MD-2024
Nicolai Pirogov;1-25,10-24;MD-2009
Pitulicii;toate;MD-2059
Primar Gherman Pîntea;toate;MD-2045
Str-la Primar Gherman Pîntea ;toate;MD-2045
Plaiului (Codru);toate;MD-2019
Str-la Plaiului (Codru),1;toate;MD-2019
Str-la Plaiului (Codru),2;toate;MD-2019
Plaiului;toate;MD-2002
Str-la Plaiului;toate;MD-2002
Alexandru Plămădeală;toate;MD-2009
Plevnei;toate;MD-2068
Plopilor;1-13;MD-2026
Plugarilor;toate;MD-2023
Poamei;1-19,2-18;MD-2062
Poamei;21,21B;MD-2032
Podgorenilor;toate;MD-2059
Podişului;toate;MD-2002
Podul de flori;toate;MD-2002
Podul Înalt;toate;MD-2023
Poienilor;toate;MD-2075
Pomicultorilor;toate;MD-2028
Str-la Pomicultorilor, 1;toate;MD-2028
Str-la Pomicultorilor, 2;toate;MD-2028
Str-la Pomicultorilor, 3;toate;MD-2028
Str-la Pomicultorilor 4;toate;MD-2028
Str-la Pomicultorilor 5;toate;MD-2028
Str-la Pomicultorilor 6;toate;MD-2028
Pomilor;toate;MD-2028
Pompierilor;toate;MD-2062
Anatol Popovici;toate;MD-200
Vasile Pogor;toate;MD-2051
Eugen Popuşoi;toate;MD-2072
Ciprian Porumbescu;toate;MD-2008
Porumbiţei;toate;MD-2070
Porumbrele;toate;MD-2008
Poştei;toate;MD-2059
Str-la Poştei;toate;MD-2059
Potîrnichii;toate;MD-2019
Str-la Potîrnicii, 1 ;1-21, 2-24;MD-2019
Str-la Potîrnicii, 2 ;1-19, 2-22;MD-2019
Str-la Potîrnicii, 3;1-23, 2-20;MD-2019
Prepeliţei;1-11, 2-46;MD-2028
Prepeliţei;13-33, 48-82;MD-2019
Praga;toate;MD-2060
Str-la Praga;toate;MD-2060
Prigoreni;toate;MD-2002
Primăverii;toate;MD-2064
Progres;Asociaţii;MD-2028
Ion Pruncul;toate;MD-2005
Pruncul (staţia);2, 6, 16, 44, 3-9;MD-2069
Prunului;toate;MD-2004
Puhoi;toate;MD-2072
Aron Pumnul;toate;MD-2043
Str-la Aron Pumnul;toate;MD-2043
Alexandru Puşkin;1, 2-10;MD-2009
Alexandru Puşkin;3-33, 12-32 ,42;MD-2012
Alexandru Puşkin;35-sf, 44-sf;MD-2005
Putnei;toate;MD-2059
Ioana Radu;toate;MD-2008
Serghei Rahmaninov;toate;MD-2064
Petru Rareş;toate;MD-2005
Rariştii;toate;MD-2008
Ratuş;toate;MD-2023
Acad. Sergiu Rădăuţanu;toate;MD-2045
Acad. Sergiu Rădăuţanu  (Codru);toate;MD-2019
Str-la Acad. Sergiu Rădăuţanu  (Codru), 1;toate;MD-2019
Str-la Acad. Sergiu Rădăuţanu  (Codru), 2;toate;MD-2019
Str-la Acad. Sergiu Rădăuţanu  (Codru), 3;toate;MD-2019
Rîndunele;toate;MD-2028
Dumitru Rîşcanu;1-11, 2-sf;MD-2024
Dumitru  Rîşcanu;29-37;MD-2068
Liviu Rebreanu;toate;MD-2023
Str-la Liviu Rebreanu;toate;MD-2023
bd. Renaşterii Naţionale;2-20,  5-27;MD-2024
Ilia Repin;toate;MD-2023
Str. Revaca;toate;MD-2029
Str-la Revaca;toate;MD-2029
Riga;toate;MD-2002
Roguleni;toate;MD-2070
Romană;toate;MD-2005
Romantica;toate;MD-2025
Str-la Romantica;toate;MD-2025
Agnesa Roşca;toate;MD-2009
Valentin Roşca;toate;MD-2045
Roşiori;toate;MD-2008
Rovinari;toate;MD-2028
Eugen Russev;toate;MD-2045
Alecu Russo;16-sf, 55-sf;MD-2044
Alecu Russo;2-10, 1-13/4,14/1;MD-2068
Nadejda Russo;toate;MD-2024
Mihai Sadoveanu;21/1, 21/2, 21/3, 23, 23/2, 23/5, 26-sf;MD-2075
Acad. Andrei Saharov;1-5, 2-4;MD-2068
Acad. Andrei Saharov;6-sf, 11-sf;MD-2024
Salcîmilor;toate;MD-2002
Sargidava;5, 10;MD-2023
Sargidava;toate(cu ex.5,10);MD-2044
Sarmizegetusa;1-15, 2-16/2(cu ex.12,16);MD-2015
Sarmizegetusa;17-sf, 12,  16-sf (cu ex.16/2, 90/2);MD-2032
Sarmizegetusa;90/2;MD-2062
Sălcuţa;toate;MD-2051
Sărăteni;toate;MD-2001
Schinoasa;toate;MD-2028
Scinoasa Nouă;toate;MD-2019
Scinoşica;toate;MD-2019
Schinoasa Deal;1-87, 2-90;MD-2028
Str-la Schinoasa Deal 1;1-87, 2-90;MD-2028
Str-la Schinoasa Deal 2;1-87, 2-90;MD-2028
Schinoasa Vale;67-71, 70-82,;MD-2019
Schinoasa Vale;1-65,  2-68;MD-2028
Scinoşica;toate;MD-2019
Schitului;toate;MD-2008
Nicolae Sclifos;toate;MD-2025
Nicolae Sulac(Codru);toate;MD-2019
Nicolae Sulac;toate;MD-2075
Nicolae Sulac(Stăuceni);Asociaţii;MD-2075
Scoreni;toate;MD-2023
Scuarul Leopold Sedar Senghor, fondator al Francofoniei";toate;MD-2012
Scuarul Catedralei;;MD-2012
Str-la Sculeni;toate;MD-2069
Scutari;toate;MD-2002
Sfatul Ţării;1-5, 2-6;MD-2009
Sfatul Ţării;53-sf, 30-34;MD-2004
Sfatul Ţării;7-41, 8-20;MD-2012
Sfînta Treime;toate;MD-2002
Sfîntul Andrei;15, 18-20;MD-2005
Sfîntul Andrei;17-sf, 30-sf;MD-2004
Str-la Sfîntul Andrei;toate;MD-2004
Sfîntul Dumitru;toate;MD-2019
Sfîntul Gheorghe;toate;MD-2001
Sf. Gheorghe (Codru);1-107, 2-72;MD-2019
Sfîntul Ilie;33-41, 54-64;MD-2005
Sfîntul Ilie;66-sf;MD-2004
Sfîntul Ion (Codru);toate;MD-2019
Sf. Maria;1, 2, 4, 28;MD-2019
Sfînta Maria;toate;MD-2059
Sfînta Parascheva;toate;MD-2023
Sfîntul Pavel;toate;MD-2019
Sfîntul Petru;1-15, 2-16,;MD-2001
Sfîntul Petru (Codru);1-25 ,;MD-2019
Sfîntul Nicolai;toate;MD-2019
Sfîntul Ştefan;toate;MD-2028
Sfîntul Vasile;toate;MD-2019
Sfînta Vineri;toate;MD-2070
Str-la Sfînta Vineri;toate;MD-2070
Sihastrului (Codru);toate;MD-2028
Str-la Sihastrului  II-IV;toate;MD-2028
Sitarului;toate;MD-2019
Str-la Sitarului 1;toate;MD-2019
Sărbească;toate;MD-2005
Nichita Smochină;toate;MD-2021
Str-la Nichita Smochină 1;toate;MD-2021
Str-la Nichita Smochină 2;toate;MD-2021
Str-la Nichita Smochină 3;toate;MD-2021
Str-la Nichita Smochină 4;toate;MD-2021
Soarelui;32-sf;MD-2011
Socilor;toate;MD-2038
Socoleni;toate;MD-2020
Sofia;toate;MD-2060
Solidarităţii;toate;MD-2059
Ipate Soroceanu;toate;MD-2025
Str-la Ipate Soroceanu;toate;MD-2025
Spartacus;toate;MD-2024
Str-la Spartacus 1;toate;MD-2024
Str-la Spartacus 2;toate;MD-2024
Nicolae Milescu Spătaru;11-sf;MD-2075
Nicolae Milescu Spătaru;1-9;MD-2044
Str-la Nicolae Milescu Spătaru;toate;MD-2044
Speranţei;toate;MD-2070
Spicului;6, 8, 14;MD-2070
Spicului; 104,106, 108;MD-2051
Spicului (Petricani);toate;MD-2059
Str-la Spicului (Petricani);toate;MD-2059
Sprîncenoaia;2-10;MD-2028
Constantin Stamati;toate;MD-2005
Nicolae Starostenco;toate;MD-2001
Nichita Stănescu;toate;MD-2072
Str-la Stejăreni;toate;MD-2001
Stejarilor(Stăuceni);toate;MD-2075
Constantin Stere;toate;MD-2009
Stolniceni;1-9;MD-2038
Străşeni;toate;MD-2059
Tudor Strişca;8;MD-2043
Tudor Strişca;(cu ex. nr. 8);MD-2019
Vasile Stroescu;toate;MD-2051
Studenţilor;2;MD-2068
Studenţilor;toate;MD-2045
Str-la Studenţilor;toate;MD-2020
Alexandru Sturdza;toate;MD-2051
Suceava;toate;MD-2051
Suceviţa;toate;MD-2051
Arheolog Ion Casian Suruceanu;toate;MD-2025
Suruceni;toate;MD-2001
Alexei Şciusev;111-sf, 106-sf;MD-2004
Alexei Şciusev;1-33, 2-34;MD-2001
Alexei Şciusev;35-109, 36-104;MD-2012
Taras Şevcenco;;
Str-la Taras Şevcenco;;
Şipotelor;toate;MD-2005
Primar Carol Şmidt;toate;MD-2021
Ihil Şraibman;toate;MD-2049
Şoimari;toate;MD-2015
bd. Ştefan cel Mare şi Sfînt;105, 154;MD-2073
bd. Ştefan cel Mareşi Sfînt;115-sf,150-sf (ex. 154);MD-2004
bd.Ştefan cel Mare şi Sfînt;1-73, 2-124;MD-2001
bd. Ştefan cel Mare şi Sfînt;75-103, 126-152;MD-2012
Petru Ştefănucă;12, 13;MD-2069
Actor Chiril Ştirbu;;MD-2025
Str-la  Actor Chiril Ştirbu;toate;MD-2025
Tallin;toate;MD-2002
Taşkent;toate;MD-2002
Tatarbunar;toate;MD-2070
Tăbăcăria Nouă;toate;MD-2002
Tăbăcăria Veche;toate;MD-2023
Maria Tănase;toate;MD-2008
Str-la Teatrului;toate;MD-2012
Tecuci;toate;MD-2038
Teilor;toate;MD-2043
Teilor (Stăuceni);toate;MD-2075
Ecaterina Teodoroiu;toate;MD-2059
Nicolae Testemiţeanu;toate;MD-2025
Tighina;toate;MD-2001
Timiş;toate;MD-2009
Timişoara;toate;MD-2059
Dominte Timonu;toate;MD-2064
S. Timoşenco;toate;MD-2049
Tiras;toate;MD-2002
Tiraspol;toate;MD-2001
Tisa;toate;MD-2038
Nicolae Titulescu;1, 1/2;MD-2002
Nicolae Titulescu;2-20;MD-2015
Nicolae Titulescu;22-49/2, 1a,1b-55;MD-2032
Tîrgovişte;toate;MD-2044
Toamnei;toate;MD-2008
Gheorghe Tofan;toate;MD-2051
F. Tolbuhin;toate;MD-2049
Lev Tolstoi;toate;MD-2001
Tomis;toate;MD-2002
Gheorghe Topîrceanu;toate;MD-2064
Toporaşilor;toate;MD-2008
Torino;toate;MD-2069
Traian;1-sf;MD-2060
Traian;2-sf;MD-2043
Trandafirilor;toate;MD-2038
Transnistria;3, 5a;MD-2044
Transnistria;toate (cu ex.3,  5a);MD-2023
Trei Crai;toate;MD-2069
Tricolorului;toate;MD-2012
Truşeni;toate;MD-2069
Gheorghe Tudor;1-7, 2-6;MD-2028
Gheorghe Tudor;8-10;MD-2009
Vitalie Tulnic;toate;MD-2029
Andrei Tupolev;toate;MD-2026
Turturele;toate;MD-2028
Turghenev;toate;MD-2011
Str-la Turghenev;toate;MD-2011
Ţărinii;toate;MD-2069
Vlad Ţepeş;toate;MD-2028
Vasile Ţepordei;toate;MD-2045
Ţicau;toate;MD-2002
Rabbi Ţirilson;toate;MD-2005
Petru Ungureanu;toate;MD--2019
Universităţii;toate;MD-2009
Ilie Untilă;toate;MD-2025
Grigore Ureche;1-53, 2-50;MD-2001
Grigore Ureche;55-sf, 52-sf;MD-2005
Uzinelor;toate;MD-2023
Str-la Uzinelor;toate;MD-2023
Vadul Bîcului;toate;MD-2002
Vadul lui Vodă;1-17, 16-62;MD-2023
Vadul lui Vodă;72-sf, 23-sf;MD-2044
Valea Albă;toate;MD-2049
Valea Apelor;toate;MD-2011
Str-la Valea Apelor 1;toate;MD-2011
Str-la Valea Apelor 2;toate;MD-2011
Str-la Valea Apelor 3;toate;MD-2011
Str-la Valea Apelor  4;toate;MD-2011
Valea Bîcului;toate;MD-2002
Valea Crucii;2, 2/1;MD-2062
Valea Crucii;toate (cu exc. 2, 2/1);MD-2072
Valea Dicescu;1-83, 2-124;MD-2009
Valea Dicescu;85-119, 126-160;MD-2021
Str-la Valea Dicescu;toate;MD-2009
Valea Podului;toate;MD-2001
Valea Rădiului;toate;MD-2070
Valea Trandafirilor;toate;MD-2001
Văleni;toate;MD-2070
Varniţa;toate;MD-2023
Varşovia;toate;MD-2060
Str-la Varşovia;toate;MD-2060
G. Vascan;toate;MD-2028
Ion Vasilenco;toate;MD-2001
Vaslui;toate;MD-2023
Ion Vatamanu;toate;MD-2025
Văleni;toate;MD-2070
Vasile Vărzaru;2-20;MD-2023
Vasile Vărzaru;3-11;MD-2044
Vesna;Asociaţii;MD-2028
Vieru;Asociaţii;MD-2028
bd. Grigore Vieru;toate;MD-2005
Igor Vieru;toate;MD-2075
Vieru;toate;MD-2070
Visterniceni;toate;MD-2059
Vişinilor;toate;MD-2051
Str-la Vişinilor;toate;MD-2051
Victoriei(Stăuceni);Asociaţii;MD-2075
Virtuţii;toate;MD-2051
Viticulturilor;toate;MD-2028
Mihai Viteazul;toate;MD-2004
Ioan Vodă Viteazul;toate;MD-2019
Vîlcele;toate;MD-2070
Vîlcov;toate;MD-2002
Vînătorilor;1-sf, 2-sf;MD-2028
Constantin Vîrnav;toate;MD-2025
Str-la Constantin Vîrnav;toate;MD-2025
Grigore Vîrtosu;toate;MD-2049
Andrei Vînaru;toate;MD-2019
Aurel Vlaicu;toate;MD-2028
Tudor Vladimirescu;1( intr,) 3 (intr);MD-2023
Tudor Vladimirescu;toate (. 1, 3 case cu apart.);MD-2024
Alexandru Vlăhuţă;toate;MD-2005
Vlaicu Pîrcălab;1-15, 2-16;MD-2009
Vlaicu Pîrcălab;17-sf, 18-sf;MD-2012
Voievozilor;toate;MD-2008
Voluntarilor;toate;MD-2023
Vorniceni;6;MD-2038
Vovinţeni;toate;MD-2008
Olga Vrabie;toate;MD-2045
Str-la Olga Vrabie 1;toate;MD-2045
Str-la Olga Vrabie 2;toate;MD-2045
Williams;toate;MD-2028
Alexandru Xenopol;toate;MD-2051
Andrei Hodorogea;toate;MD-2019
Tudor Hrişca;8;MD-2043
Tudor Hrişca;toate (cu ex 8);MD-2019
Petru Zadnipru;toate;MD-2044
Zagreb;toate;MD-2060
Ivan Zaikin;1-7, 2-16;MD-2004
Ivan Zaikin;24-sf;MD-2005
Zaim;toate;MD-2038
Zamolxe;toate;MD-2049
Valentin Zarzăr;toate;MD-2029
Str-la Valentin Zarzăr;toate;MD-2029
Zăvoiului;toate;MD-2004
Nicolai Zelinski;1-5/7;MD-2032
Nicolai Zelinski;20-44, 13, 15,  31-37;MD-2038
Nicolai Zelinski;2-12/4,7,11;MD-2015
Zimbrului;toate;MD-2024
Zmeurei;toate;MD-2029
Zodiac;toate;MD-2070